"[HOW TO USE THIS TABLE]
company","is it
aging
?",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage / pipeline (as of Jun'22),Tx or Dx,"Aging Biotech
 .info company
categories","hallmarks
of aging",SENS damage categories,diseases / indications,species (humans implied),clin. trials (as of Jun'22),modalities,regulatory category,"team/principals
(esp. scientific)",advisors (scientific),contact info,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI (as of May'22),year founded,priv. fund. stage,notable investors,tot. raised ($M) (as of Jun'22),other relations,lead product(s),publications,as of (last full row update),add date if after Oct 2019,notes
Prodrome Sciences,yes,operating,metabolomics for early disease detection & therapy for brain diseases by boosting plasmalogen (a lipid),"ph.1 trials,
commercial","Dx, Tx",mitochondria,mitochondria,mitochondria,"PD, neuroDs, cancers,
CVD, T2D, liverDs",,2,nutraceutical?,"reg Dx,
supplement?","Dayan Goodenowe, Vijitha Senanayake","Ian Wright, John Ryan, Kevin Perrott",info@prodromesciences.com,"Saskatoon, Canada; San Diego",no,,,,,10,2016,,,,Prodrome Health,ProdromeScan,"several peer reviewed: see both Detect & Cure pages, plus https://www.ncbi.nlm.nih.gov/pubmed/31022959",2019-07-20,,Diagnostic launched commercially for contract research (https://www.prodromesciences.com/component/content/article/79-blog/98-contract-research-services-launch?Itemid=437) but linked page no longer live. Health clinic operating commercially in Canada (http://prodromehealth.com/).
Rejuvenate Bio,yes,operating,"gene therapy for dogs (eventually humans), 1st for mitral valve disease",pre-vet-clinical,Tx,,,,"HF, KF, obesity, T2D","dogs, humans",,gene therapy,veterinary,"Daniel Oliver, George Church, Noah Davidsohn, Jihyun Kim, Jordan Willis",,,San Diego,no,,,,,24,2018,raised A,"Rejuveron, Digitalis",$17.1,Rejuveron,,,2019-07-19,,
Rejuvenation Technologies,yes,operating,"extend telomeres via nucleoside-modfied TERT mRNA, in vitro & in vivo",pre-clinical,Tx,telomeres,telomeres,,"NASH, liverDs, IPF, cancer",,,RNA,pharma,"John Ramunas, Glenn Markov",,info@rejuvenationtech.com ,San Francisco,no,,,,,16,2017,raised f/ YC,"YC, StartX",$0.15,,,paper,2020-02-11,,
Rejuveron Life Sciences AG,yes,operating,"biotech umbrella company focused on aging, with incubator",pre-clinical,Tx,umbrella,,,,,,,,,,info@rejuveron.com,Zurich,no,,,,,33,2019,,,,portfolio,,,2021-05-06,2021-05-06,
"Rejuveron Senescence Therapeutics 
(was Rejuversen)",yes,operating,immune-mediated clearance of senescence cells by disabling a newly discovered immune evasion technique,pre-clinical,Tx,senescence,senescence,senescence,"cancer, fibrosis",,,,,link (to-do: expand here),,info@rejuveron.com,Zurich,no,,,,,4,2020,,Rejuveron,,Rejuveron,,,2021-05-06,2021-05-06,
"Rejuveron 
Vascular Therapeutics AG (was RejuverVas)",yes,operating,rejuvenate brain vasculature,pre-clinical,Tx,,,,,,,,,link (to-do: expand here),,info@rejuveron.com,Zurich,no,,,,,8,?,,Rejuveron,,Rejuveron,,,2021-05-06,2021-05-06,
"Repair
Biotechnologies",yes,operating,reverse atherosclerosis by improving macrophages & rejuvenate the thymus w/ FOXN1,pre-clinical,Tx,in-cell aggregates,,in-cell aggregates,"atherosclerosis, HCL,
cancer risk, HIV non-responders",,,gene therapy,pharma,"Reason, Bill Cherman, Marc Ridilla, Jay Mukherjee","Richard Honkanen, Graham Pawelec, David Thomas, Aubrey de Grey",info@repairbiotechnologies.com,"Syracuse, NY",no,,,,,6,2018,raised seed,"Jim Mellon, Thynk, Emerging Longevity, SENS",$2.7,,,,2019-08-01,,
Retro Biosciences,yes,starting?,"high throughput, high dimensions platform targeting multiple diseases driven by aging",pre-clinical,Tx,,,,,,,,,Joe Betts-Lacroix,,contact@retro.bio,,no,,,,,12,2021,,,,,,,2021-05-11,2021-05-11,
Retrotope,yes,operating,"deuterium lipids to prevent oxidation, for mitochondria health, for mito & neurodegenerative diseases",ph.3 trials,Tx,mitochondria,mitochondria,mitochondria,"NA mitoDs (FA, INAD), neuroDs",,7,lipid small molecules,pharma,"Robert Molinari, Mikhail Shchepinov, Peter Milner","Tom Brenna, Anatoly Buchachenko, Charles Cantor, Amato Giaccia, Aubrey de Grey, Richard Haas, Michael Murphy, David Shima, Jan Vijg",info@retrotope.com,San Francisco,no,,,,,24,2006,raised C,"Timur Artemev, Mehta Family Partners",$82.7,,,,2020-01-06,,
"Revel
Pharmaceuticals",yes,operating,enzymes to break glucosepane AGEs,pre-clinical,Tx,ECM or AGEs,,ECM,"OA, kidneyDs, CVD, skin aging",,,enzymes,"
","Aaron Cravens, Nicholas Delateur","Kenneth Moch, David Spiegel, Jason Crawford",form,San Francisco,no,,,,,4,2019,raised seed,"Kizoo, Michael Antonov",$8.4,QB3,,"2 papers: https://onlinelibrary.wiley.com/doi/abs/10.1002/cbic.201900158
https://science.sciencemag.org/content/350/6258/294",2020-02-20,,Revel is mentioned by Aubrey de Grey in this 2019 interview (linked) and also in the SENS Research Foundation 2019 annual report.
Ridgeline Therapeutics,yes,operating,small molecules inhibitors of NNMT (regulator of NAD+ cycle & methionine epigenetic pathways),pre-clinical,Tx,"mitochondria / NAD+, 
metabolism","mitochondria, nutri-sense",mitochondria,"T2D, sarcopenia, MD, glioblastoma",,,small molecules,pharma,Stan Watowich,,form,Houston,no,,,,,6,2015,,,,,,,2019-07-22,,"Not to be confused with Ridgeline of Basel, Switzerland, a Versant Ventures company: http://ridgelinediscovery.com/ & https://www.linkedin.com/company/ridgeline-therapeutics/about/ (whose execs have some LinkedIn connections with prominent members of the aging community despite that company not seeming to be an aging company by this list's criteria)."
Rubedo Life Sciences,yes,operating,"drug design platform that targets cells by type, first to kill senescent cells by apoptosis; later to improve stem cells",pre-clinical,Tx,senescence,senescence,senescence,"cancer, frailty",,,small molecules,pharma,"Marco Quarta, Mark Gallop, Julian Klein, Alberto Vitari",,info@rubedolife.com,San Francisco,no,,,,,19,2018,raised seed,"Longevity Fund, Refactor",$12,Age1,,,2020-01-16,,
Samsara Therapeutics,yes,operating,"drug screen platform based on hallmarks, cross species healthspan extension, models of aging diseases",pre-clinical,Tx,lifespan screens,,,,,,small molecules,pharma,"Jens Eckstein, Sebastian Aguiar, Warren Galloway (employees or advisors: Frank Madeo, Guido Kroemer, Didac Carmona-Gutierrez, Oliver Kepp)","David Newman, Robin Ketteler, James Sikorski, Steven Hutchins",form,"Hamburg, Germany",no,,,,,14,2018,seed,Apollo,$13.5,Evotec,"4,4’-dimethoxychalcone",several peer reviewed,2019-07-19,,Not to be confused with public software company Samsara.
Scholar Rock,yes,operating,platform for targeting precursors of growth factors including myostatin & TGFβ,ph.3 trials,Tx,,,,"SPA, cancer, fibrosis",,3,,,,,form,Boston,yes,SRRK,,$407,145,141,2012,,,$358,,"Apitegromab, 
SRK-181",,2022-06-28,2022-06-28,
SENISCA,yes,operating,"reverse cell senescence by modulation of RNA alternative splicing, for diseases & aesthetics of aging",pre-clinical,Tx,"senescence,
alternative splicing",senescence,senescence,,,,"oligonucleotides,
small molecules",,"Lorna Harries, Ben Lee, Kirsty Semple",,info@senisca.com,"Exeter, UK",no,,,,,10,2020,raised seed 2,"R42, Emerging Longevity Ventures, Longevity Tech Fundl",£3.9,,,papers,2022-06-09,2020-09-01,Total raised calculated from linked seed 2 round + earlier 1st seed round (including grants at both times).
Shift Biosciences,yes,operating,drugs to lower % damaged mitochondria via mito competition; plus plans to develop an aging clock,pre-clinical,Tx,epigenetic,epigenetic,,"NA mitoD (MELAS), PD?",,,small molecules,pharma,"Daniel Ives, Romina Durigon, Stephen Ives","Jonathan Milner, Wolf Reik, Aubrey de Grey",hello@shiftbioscience.com,"Cambridge, UK",no,,,,,7,2017,raised seed,Jonathan Milner,,,SB002,poster,2019-11-14,,Also see Aug 2019 interview for more self description.
Sierra Sciences,yes,operating,drugs to produce telomerase in all cells to reverse aging and cure age-related diseases,"pre-clinical, commercial",Tx,telomeres,telomeres,,,,,"small molecules, nutraceuticals","pharma,
supplement","William Andrews, Laura Briggs",,bandrews@sierrasci.com,"Reno, NV",no,,,,,17,1999,,,,"Libella Gene Therapeutics, TA Sciences, Isagenix, DefyTime","TA-65, TAM-818, Product B",,2019-07-19,,Receives revenue from sales of nutraceuticals through partners (see lead product names column). Pursuing gene therapy with Libella Gene Therapeutics.
SIWA Therapeutics,yes,operating,humanized mAb targeting both senescent & cancer cells based on proprietary cell surface marker,pre-clinical,Tx,"senescence, DNA","senescence, DNA","senescence, cancer",,,,biologics,pharma,"Lewis Gruber, Misty Gruber","John Ford, Stuart Kupfer, Thomas Tang",info@siwatherapeutics.com,Chicago,no,,,,,9,2006,raised seed,,$1.6,,SIWA 318H,,2020-01-30,,
"Somagevity, Inc.",yes,starting?,,,,,,,,,,,,Yizheng He,,,,no,,,,,1,2018,,,,,,,to be completed,2021-05-04,
Souvien Therapeutics,"only
brain",starting?,modulate epigenetics of neurodegeneration,pre-clinical,Tx,epigenetic?,epigenetic?,,neuroDs,,,,,"Jeffrey Sprouse, Li-Huei Tsai, Stephen Haggarty",,,,no,,,,,1,?,seed,Juvenescence,$3.5,Juvenescence,,,2019-08-24,,
Spring Discovery,yes,operating,"AI, automation, & wet lab aging experiments drug screening platform for aging drugs",pre-clinical,Tx,,,,,,,drugs,pharma,"Ben Kamens, Christian Elabd, Wenty Cousin","Elad Gil, Howard Chang, Saul Villeda, Sasha Kamb, Steve Young",hello@springdisc.com,San Francisco,no,,,,,32,2017,raised A,"General Catalyst, First Round, Longevity Fund, Caffeinated Capital, Joe Betts-Lacroix SciFi VC",$22,Age1,,,2019-07-24,,
"Stealth
Biotherapeutics",yes,operating,peptide & drug platform for mitochondria; 1st: a peptide (Elamipretide) to stabilize inner mito membrane,ph.3 trials,Tx,mitochondria,mitochondria,mitochondria,"NA mitoDs, AMD, HD, mito-neuroDs",,28,"peptides, small molecules",pharma,"Reenie McCarthy, Jim Carr, Marty Redmon",,info@stealthbt.com,Boston,yes,MITO,,#N/A,57,53,2007,,,,,"Elamipretide, SBT-20",several publications,2020-01-08,,
TA Sciences,yes,operating,supplement to lengethen telomeres by activating telomerase,"commercial,
ph.1 trials",Tx,telomeres,telomeres,,,,5,nutraceuticals,supplement,Noel Thomas Patton,,info@tasciences.com,New York,no,,,,,18,2002,,,,,TA-65,"https://www.ncbi.nlm.nih.gov/pubmed/21426483,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5178008/",2020-02-05,2020-02-05,Active ingredient of TA-65 may be cycloastragenol.
TAmiRNA,yes,operating,"blood circulated microRNA signatures as biomarkers for aging diseases, as a service, first for osteoporosis",commercial,Dx,senescence,senescence,senescence,"OP, CVD, liverDs",,,blood test,,"Matthias Hackl, Otto Kanzler, Hanna Dellago","Regina Grillari, Johannes Grillari, Heinz Redl, Peter Pietschmann, Wolfgang Woloszczuk",office@tamirna.com,"Vienna, Austria",no,,,,,12,2013,,,€0.05M,,"osteomiR,
thrombomiR",papers,2020-02-06,2020-02-06,Revealed that they are working on detection of senescent cell burden at Longevity Therapeutics 2020 conference.
Telocyte,yes,operating,telomerase (TERT) gene therapy to reset gene expression (in glial cells) for AD,pre-clinical,Tx,telomeres,telomeres,,AD,,,viral gene therapy,pharma,"Michael Fossel, Peter Rayson, Mark Hodges","Russell Swerdlow, Suzanne Hendrix, Mimoun Azzouz, Joseph Araujo, Zaven Khachaturian",form,,no,,,,,5,2015,,,,,TEL-01,"papers & books;
also https://alz-journals.onlinelibrary.wiley.com/doi/full/10.1002/alz.12012",2020-02-09,2020-02-09,"Focused on AD, but telomerase therapy clearly more broadly applicable to aging."
Tiaki Therapeutics,"only
brain",operating,neuroinflammation transcriptomics screening platform for microglia targeted therapeutics for dementias,pre-clinical,Tx,,,,"AD, neuroDs",,,drugs,pharma,"Suzanne Bruhn, Thomas Miller, Jonathan Levenson",,info@tiakitx.com,Boston,no,,,,,2,2017,seed,Dementia Discovery Fund,,LabCentral,,poster,2019-07-18,,
Tracked.bio,yes,starting?,fully automated phenotyping & identification system for model organisms using deep learning/vision,(pre-?)commercial,tool,,,,,,,,unreg tool,"Michael Petr, Morten Scheibye-Knudsen, Indra Heckenbach","Alex Zhavoronkov, Tomohiro Shibata, Jesper Gronbaek",contact@tracked.bio,"Copenhagen, Denmark",no,,,,,0,2019,,,,,,,2020-09-02,2020-09-02,"To what extent is this a CRO as well as or instead of a tool maker? Maybe worth reconsidering NemaLife at the same time. If CROs, maybe need to include Ichor's daughter company CRO(s)."
Tranquis Therapeutics,yes,operating,modulate myeloid immune cells via regulators eg PGC1α for mitochondria & immune conditions esp neuro,ph.1 trials,Tx,mitochondria,mitochondria,mitochondria,"ALS, PD, AD",,0,small molecules,pharma,"Sanjay Kakkar, Jonas Hannestad",,info@tranquis.com,San Francisco,no,,,,,25,2016,raised A,Remiges,$30,,,,2022-06-29,2022-06-29,
TruMe Labs,yes,operating,DTC saliva methylation clock,commercial,Dx,"epigenetic, clock",epigenetic,,,,,saliva sample,unreg test,"Yelena Budovskaya, Oleksandr Demidenko",,form,San Francisco,no,,,,,1,2018,,,,,TruAge Index,,2020-01-06,2020-01-06,"The 'TruAge' in product name ""TruAge index"" should not be confused with TruAge in ""TruAge Scanner"", a skin autofluorescence device for measuring AGE levels in skin. There are other companies in other areas called TruMe."
"Turn
Biotechnologies",yes,operating,"epigenetic reprogramming to reverse 8 of 9 hallmarks (not telomeres), via OSKMLN (per paper)",pre-clinical,Tx,epigenetic,epigenetic,,,,,RNA,pharma,"Gary Hudson, Marco Quarta, Jay Sarkar, Sergio Ruiz","Vittorio Sebastiano, Thomas Rando, Michael Longaker",info@turn.bio,San Francisco,no,,,,,21,2018,,"Methuselah, Kizoo",$2,,,preprint,2020-01-17,,
Vaxxinity (was United Neuro.),maybe,operating,vaccines against endogenous proteins for neuro diseases,ph.3 trials,preventative,proteostasis,proteostasis,ex-cell aggregates,"AD, PD, ALS, neuroDs",,6,peptide vaccine,,"Mei Mei Hu, Lou Reese, Chang Yi Wang, Peter Powchik","Jeffrey Cummings, Steve Arnold, Nicki Fox, Brad Hyman, Wayne Koff, Eric Reiman, Bob Brown, Paul Maruff",info@unitedneuroscience.com,Dublin,no,,,,,81,2014,,,,,UB-311,peer reviewed paper,2019-07-18,,Is it aging needs to be re-evaluated as of 2022.
Unify Pharmaceuticals,yes,operating,,pre-clinical,,,,,,,,small molecules ,pharmaceutical,,,,,no,,,,,2,?,,,,,UP-1007,,to be completed,2021-05-04,
Unity Biotechnology,yes,operating,"treat aging, 1st w/ senolytics, 1st for knee OA (dropped? see notes), later youth factors & mito therapies",ph.2 trials,Tx,senescence,senescence,senescence,"OA, eyeDs, neuroDs, lungDs",,8,"small molecules, proteins",pharma,"Anirvan Ghosh, Ned David, Dan Marqueess, Jamie Dananberg",,contact page,San Francisco,yes,UBX,,$40,100,54,2011,,"Jeff Bezos, Peter Thiel, Longevity Fund",,,"UBX0101, UBX1967, UBX1325",papers,2020-08-29,,"Lead program (UBX0101 for knee OA) failed in phase 2---see coverage from LEAF, FightAging.org, and/or Longevity.Technology."
Younger Phenotype,yes,operating,system for helping people optimize lifestyle based on aging science; topical pain cream to enable exercise,commercial,Tx,,,,,,,software/system,unreg app/advice,link,,,,no,,,,,3,2017,,,,,,,2021-05-12,2021-05-12,"The topical pain cream is launched commercially, but doesn't count as a legitimate aging product based on the criteria of this site. The comprehensive lifestyle system does, but has yet to launch to everyone."
YouthBio Therapeutics,yes,operating,,pre-clinical,Tx,epigenetic,epigenetic,,,,,,pharma,"Yuri Deigin, Valeria Kogan","Aubrey de Grey, Eugene Baranov, Alexander Polinsky, Andrei Gudkov, Josh Mitteldorf",info@youthereum.io,,no,,,,,2,?,,,,,,,2022-05-21,,"Not clear whether Youthereum (also founded by Yuri Deigin) failed and this is a new company in the same space, or whether this is Youthereum renamed."
Yumanity Therapeutics,only brain,operating,drug discovery platform aimed at correcting toxicities initiated by protein misfolding,ph.1 trials,Tx,proteostasis,proteostasis,ex-cell aggregates,"PD, AD, ALS/FTLD, 
glioblastoma",,0,small molecules,pharma,Richard Peters,,info@yumanity.com,Boston,yes,YMTX,,$19,40,20,2014,,,$137,,,publications,2022-06-20,,"Merged in Dec'2020 with Proteostasis Biosciences (founded in 2006) & latter's website now gone. 0 trials as Yumanity in ClinicalTrials.gov as of 2022-06-20 but 7 completed as Proteostasis Bio but most for cystic fibrosis, which isn't on Yumanity's pipeline."
Yuva Biosciences,yes,operating,mitochondrial science to develop cosmeceuticals & pharmaceuticals (also see notes),pre-clinical,Tx,mitochondria,mitochondria,mitochondria,"hair loss, wrinkles",,,topical,"reg cosmetic,
pharma?",Keshav Singh,"Robert Naviaux, Matt Kaeberlein, Aubrey de Grey, Frank Jaksch",form,"Birmingham, AL?",no,,,,,6,2019,,,,,,papers,2019-10-30,,"inspired by founder's research in which mtDNA depleter mice (POLG1 transgene) showed increased aging (hair, skin, IGF1R, KLOTHO, VEGF) that reversed when transgene turned off"
